Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
11,Aakash Pandey,Animal Lawyer,Remfry & Sagar,303,Animal Rights Organizations,Managing Partner,18,584,499,District Court,Failure to provide effective legal representation. | Failed to provide clear explanations and advice. | Unprofessional conduct and lack of expertise.,3209385,NB/TR/2006/27786
12,Meera Pandey,Environmental Lawyer,Mahendra Bhavsar & Co,263,Conservation Organizations,Managing Associate,9,201,163,Bar Council of India,Exceptional at handling complex legal issues. | Professional demeanor and exceptional legal expertise. | Committed and dedicated. Helped me navigate the legal system effectively.,309995,NB/MN/2015/52227
13,Divya Patel,Constitutional Lawyer,Juris Arena,385,Individuals,Of Counsel,12,277,237,Supreme Court of India,Great strategic thinking and problem-solving skills. | Dedicated and diligent. Always kept me informed. | Professional and reliable. Made the legal process smooth and manageable.,423881,NB/JK/2012/17616
14,Amit Chaudhary,Municipal Lawyer,Cyril Amarchand Mangaldas,83,Municipal Agencies,Independent Legal Consultant,9,136,106,High Court,Highly recommended for their expertise and professionalism. | Exceptional negotiation skills. Secured a great deal for me. | Committed and dedicated. Helped me navigate the legal system effectively.,489262,NB/JH/2015/72925
15,Divya Sharma,Personal Injury Lawyer,Beruar & Beruar,219,Workers,Non-Equity Partner,10,210,208,High Court,Proactive and strategic in handling my legal issues. | Efficient handling of my case with a favorable result. | Thorough preparation and outstanding legal advice.,818816,NB/UP/2014/76432
16,Shweta Pandey,Intellectual Property Lawyer,Gagrats,147,Companies,Legal Advisor,7,100,88,Bar Council of India,Caring and attentive to my needs. Very pleased with the outcome. | Proactive and strategic in handling my legal issues. | Very knowledgeable in their field and easy to communicate with.,487147,NB/KL/2017/72681
17,Naveen Sharma,International Lawyer,Stratage Law,96,NGOs,Non-Equity Partner,11,274,250,Supreme Court of India,Responsive and proactive. Addressed all my concerns promptly. | Experienced and skilled. Made me feel confident throughout. | Dedicated to their clients and achieved favorable outcomes.,851775,NB/MN/2013/87318
18,Kavita Patel,Military Lawyer,Ganesan Manuraj LLP,71,Veterans,Of Counsel,12,262,245,Bar Council of India,Exceptional service with a strong focus on client needs. | Proactive and strategic. Achieved a favorable outcome. | Caring and attentive to my needs. Very pleased with the outcome.,373598,NB/WB/2012/31787
19,Jyoti Pandey,Family Lawyer,I.L.A. Pasrich & Company,410,Families,Counsel,8,159,124,Bar Council of India,Mismanaged client expectations and case strategy. | Not as knowledgeable as expected. Did not meet my expectations. | Did not provide adequate representation and support.,399826,NB/KL/2016/28917
20,Rekha Chaudhary,Criminal Lawyer,P&A Law Offices,282,Prosecutors,Senior Associate,4,54,45,Supreme Court of India,"Professional, reliable, and easy to work with. Satisfied client. | Clear communication and prompt responses. Highly recommend. | Supportive and empathetic. Always had my best interests in mind.",144846,NB/DL/2020/53158
21,Manoj Chaudhary,Animal Lawyer,DMD Advocates,345,Animal Sanctuaries,Of Counsel,10,280,279,High Court,Reliable and trustworthy. Delivered on their promises. | Clear communication and prompt responses. Highly recommend. | Effective and result-oriented. Highly satisfied with the service.,269700,NB/TR/2014/79437
22,Shivani Menon,Civil Lawyer,Desai & Diwanji,499,Property Owners,Principal Associate,8,85,68,Supreme Court of India,Very satisfied with the outcome and the service provided. | Great strategic thinking and problem-solving skills. | Provided excellent counsel and achieved excellent results.,208757,NB/JH/2016/19600
23,Pratik Mishra,Personal Injury Lawyer,Khaitan & Co.,177,Victims of Malpractice,In-House Counsel,6,177,132,District Court,Highly knowledgeable and provided excellent advice throughout. | Exceptional legal skills and always available to answer questions. | Great support throughout the legal process.,202304,NB/BR/2018/42533
24,Ritika Mishra,Maritime Lawyer,Krishna & Saurastri Associates LLP,80,Shipping Companies,Senior Associate,5,54,46,Supreme Court of India,Failure to provide effective legal representation. | Did not address all legal issues in a timely manner. | Failed to provide clear explanations and advice.,93541,NB/MP/2019/98942
25,Kiran Verma,Tax Lawyer,Gravitas Legal,478,Corporations,Legal Aid Lawyer,1,19,19,High Court,Great strategic thinking and problem-solving skills. | Empathetic and understanding. Made me feel valued. | Proactive and strategic in handling my legal issues.,50004,NB/AP/2023/89373
26,Rajesh Patel,Environmental Lawyer,AnantLaw,424,Advocacy Groups,In-House Counsel,6,102,76,High Court,Professional demeanor and exceptional legal expertise. | Dedicated to their clients and achieved favorable outcomes. | Effective and result-oriented. Highly satisfied with the service.,531999,NB/UK/2018/58023
27,Shivani Reddy,Personal Injury Lawyer,Lall & Sethi,24,Victims of Malpractice,Government Counsel,5,138,111,District Court,Unresponsive and did not address all my concerns. | Made me feel undervalued and ignored my inputs. | Failure to communicate important updates and changes.,130538,NB/MP/2019/93577
28,Renu Yadav,Personal Injury Lawyer,AZB & PARTNERS,178,Injured Individuals,Non-Equity Partner,15,260,255,District Court,Very knowledgeable in their field and easy to communicate with. | Great support throughout the legal process. | Excellent service. Made a stressful situation much easier to handle.,1064081,NB/KL/2009/65778
29,Meera Saxena,Criminal Lawyer,Kirkland & Ellis LLP,180,Prosecutors,Senior Associate,4,51,48,High Court,Proficient in handling legal matters with great care. | Trustworthy and results-oriented. I felt well-represented. | Professional demeanor and exceptional legal expertise.,135026,NB/BR/2020/24107
30,Priya Singh,Banking and Finance Lawyer,AP & Partners,344,Investors,Senior Advocate,10,285,214,Supreme Court of India,Caring and attentive to my needs. Very pleased with the outcome. | Great support throughout the legal process. | Effective and result-oriented. Highly satisfied with the service.,760563,NB/JK/2014/32628
31,Vikas Rao,Health Lawyer,S.S. Rana & Co.,232,Insurance Companies,Legal Advisor,7,198,160,Supreme Court of India,Inadequate preparation and subpar legal advice. | Did not represent my interests effectively in court. | Failed to provide clear explanations and advice.,515563,NB/KAR/2017/17523
32,Arjun Mehta,Labor Lawyer,Bharucha & Partners,394,Labor Unions,Managing Associate,11,222,217,Supreme Court of India,Great advocate. Got me the best possible result in my case. | Always available and attentive to my needs. | Professional approach and excellent outcome in my case.,289118,NB/HP/2013/63542
33,Kavita Joshi,Immigration Lawyer,Ashwathh Legal,94,Corporations,Of Counsel,10,336,258,District Court,Committed and dedicated. Helped me navigate the legal system effectively. | Efficient handling of my case with a favorable result. | Efficient and effective. Made a complex process straightforward.,430908,NB/WB/2014/97259
34,Kiran Gupta,Civil Lawyer,Mayer Brown,420,Small Businesses,Counsel,9,225,166,High Court,Efficient and effective. Made a complex process straightforward. | Committed and dedicated. Helped me navigate the legal system effectively. | Consistently high-quality service and reliable support.,209304,NB/BR/2015/54924
35,Tanvi Lal,Constitutional Lawyer,SNG & PARTNERS,495,Individuals,Of Counsel,15,327,255,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Proactive and strategic. Achieved a favorable outcome. | Thorough and meticulous in every aspect of the case.,313430,NB/OR/2009/48113
36,Dinesh Rajput,Bankruptcy Lawyer,Ganesan Manuraj LLP,340,Creditors,Managing Partner,25,434,371,District Court,Provided incorrect information and poor advice. | Unreliable and ineffective in managing legal proceedings. | Failure to communicate important updates and changes.,1369368,NB/JH/1999/29217
37,Shivani Pillai,Entertainment Lawyer,TMT Law Practice,250,Filmmakers,Counsel,8,250,248,District Court,Always available and attentive to my needs. | Very responsive and provided excellent legal counsel. | Dedicated to their clients and achieved favorable outcomes.,240136,NB/BR/2016/19618
38,Siddharth Verma,Elder Lawyer,S&R Associates,297,Senior Citizens,Non-Equity Partner,10,245,198,Bar Council of India,Confident and competent. I felt secure with their representation. | Highly knowledgeable and provided excellent advice throughout. | Professional approach and excellent outcome in my case.,659515,NB/OR/2014/87144
39,Amit Reddy,Immigration Lawyer,Tuli & Co,436,Corporations,Senior Advocate,15,309,248,District Court,Professional approach and excellent outcome in my case. | Proactive and strategic in handling my legal issues. | Reliable and trustworthy. Delivered on their promises.,544736,NB/TS/2009/29956
40,Neha Singh,Maritime Lawyer,Agarwal Law Associates,25,Shipping Companies,Managing Partner,20,558,474,High Court,Misguided and failed to achieve the desired outcome. | Subpar service and lack of attention to my case. | Did not provide adequate representation and support.,3430815,NB/UK/2004/39595
41,Sneha Patel,Banking and Finance Lawyer,Sidley Austin LLP,349,Banks,Independent Legal Consultant,10,135,96,District Court,Not very responsive. I had to chase for updates. | Poor representation and lack of thorough case handling. | Unacceptable delays and lack of proper follow-up.,218752,NB/BR/2014/87314
42,Kunal Menon,Civil Lawyer,AP & Partners,385,Individuals,Of Counsel,11,338,267,Supreme Court of India,Confident and competent. I felt secure with their representation. | Reliable and trustworthy. Delivered on their promises. | Exceptional service with a strong focus on client needs.,274343,NB/G/2013/48420
43,Siddhi Kaul,Personal Injury Lawyer,Krishna & Saurastri Associates LLP,312,Accident Victims,Counsel,8,199,166,Bar Council of India,Dedicated and diligent. Always kept me informed. | Proactive and strategic. Achieved a favorable outcome. | Consistently high-quality service and reliable support.,205884,NB/MAH/2016/24880
44,Rohit Iyer,Environmental Lawyer,Krishna & Saurastri Associates LLP,241,Conservation Organizations,Managing Partner,24,558,394,High Court,Made me feel undervalued and ignored my inputs. | Mismanaged my case and provided inadequate support. | Poorly handled legal negotiations and settlements.,1103531,NB/TN/2000/17673
45,Shweta Das,Personal Injury Lawyer,Ropes & Gray LLP,143,Accident Victims,Managing Associate,8,244,227,District Court,Exceptional legal skills and always available to answer questions. | Efficient and effective. Made a complex process straightforward. | Exceptional negotiation skills. Secured a great deal for me.,297697,NB/OR/2016/98302
46,Ajay Agarwal,Labor Lawyer,King & Spalding LLP,119,Employers,Non-Equity Partner,15,239,167,Bar Council of India,Very knowledgeable in their field and easy to communicate with. | Very responsive and provided excellent legal counsel. | Skilled and effective. Managed my case with precision and care.,733531,NB/CG/2009/50549
47,Amit Mishra,Environmental Lawyer,AZB & PARTNERS,80,Corporations,Non-Equity Partner,10,261,199,Bar Council of India,Clear communication and prompt responses. Highly recommend. | Exceptional legal skills and always available to answer questions. | Responsive and proactive. Addressed all my concerns promptly.,728859,NB/MG/2014/89033
48,Nikhil Bhat,Health Lawyer,LexCounsel,229,Hospitals,Legal Aid Lawyer,3,10,8,High Court,Exceptional negotiation skills. Secured a great deal for me. | Efficient and effective. Made a complex process straightforward. | Experienced and skilled. Made me feel confident throughout.,49885,NB/UP/2021/84514
49,Ravi Verma,Animal Lawyer,Kachwaha & Partners,328,Pet Owners,Counsel,8,213,184,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Top-notch service. Went above and beyond to ensure a positive result. | Trustworthy and results-oriented. I felt well-represented.,387299,NB/TS/2016/18752
50,Renu Iyer,International Lawyer,I.L.A. Pasrich & Company,176,Corporations,Legal Aid Lawyer,1,14,12,High Court,Exceptional legal skills and always available to answer questions. | Great attention to detail and thorough in handling my case. | Experienced and skilled. Made me feel confident throughout.,54425,NB/TS/2023/58588
51,Pooja Basu,Constitutional Lawyer,S.K. Singhi & Co. LLP,106,Civil Rights Groups,Managing Associate,12,182,138,Bar Council of India,Trustworthy and results-oriented. I felt well-represented. | Thorough preparation and outstanding legal advice. | Efficient and effective. Made a complex process straightforward.,294216,NB/UP/2012/75321
52,Kavita Kadam,Business Lawyer,Spice Route Legal,19,Corporations,Managing Associate,8,186,161,Supreme Court of India,Unprofessional behavior and missed important deadlines. | Unreliable and frequently missed critical meetings. | Failed to deliver on commitments and promises.,218744,NB/DL/2016/62567
53,Siddhi Agarwal,Civil Lawyer,Anhad Law,252,Individuals,Advocate,1,18,18,High Court,Outstanding client service and thorough legal representation. | Very knowledgeable in their field and easy to communicate with. | Exceptional legal skills and always available to answer questions.,75518,NB/DL/2023/47462
54,Siddhi Joshi,Constitutional Lawyer,Dhir & Dhir Associates,245,Individuals,Legal Aid Lawyer,2,13,13,District Court,Professional approach and excellent outcome in my case. | Effective and result-oriented. Highly satisfied with the service. | Committed and dedicated. Helped me navigate the legal system effectively.,32734,NB/G/2022/62859
55,Bhavna Rao,Bankruptcy Lawyer,Tuli & Co,396,Individuals,Counsel,11,215,155,High Court,"Not very responsive. I had to chase for updates. | Felt like just another case, not a priority. | Felt my case was not handled with enough urgency.",292069,NB/G/2013/74693
56,Abhishek Ghosh,Criminal Lawyer,"BRUS CHAMBERS, Advocates & Solicitors",388,Government Agencies,In-House Counsel,6,174,135,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Great attention to detail and thorough in handling my case. | Great support throughout the legal process.,528552,NB/TS/2018/27773
57,Ravi Ghosh,Criminal Lawyer,"BRUS CHAMBERS, Advocates & Solicitors",475,Accused Individuals,Advocate,1,18,13,Supreme Court of India,Proactive and strategic in handling my legal issues. | Caring and attentive to my needs. Very pleased with the outcome. | Exceptional legal skills and always available to answer questions.,53138,NB/MP/2023/22322
58,Sanjay Pandey,Environmental Lawyer,Gopakumar Nair Associates,94,Advocacy Groups,Solicitor,6,200,157,Supreme Court of India,Inadequate response to urgent legal matters. | Overpromised and underdelivered. Disappointed with the service. | Did not represent my interests effectively in court.,607745,NB/JH/2018/93162
59,Aakash Kadam,Civil Lawyer,Juris Prime Law Services,488,Individuals,Legal Aid Lawyer,3,19,19,Supreme Court of India,Supportive and empathetic. Always had my best interests in mind. | Very professional and handled my case with great expertise. | Trustworthy and results-oriented. I felt well-represented.,30497,NB/TN/2021/48087
60,Sunita Basu,Labor Lawyer,Universal Legal Advocates,418,Workers,Counsel,8,220,196,Supreme Court of India,Clear explanations and transparent throughout the process. | Confident and competent. I felt secure with their representation. | Exceptional service with a strong focus on client needs.,337662,NB/G/2016/66024
61,Ajay Mishra,Administrative Lawyer,Stratage Law,410,Government Agencies,Independent Legal Consultant,7,133,105,District Court,Did not provide adequate support or guidance. | Failed to provide clear explanations and advice. | Made me feel undervalued and ignored my inputs.,468763,NB/UP/2017/63299
62,Ishaan Kaul,Tax Lawyer,Veritas Legal,117,Businesses,Managing Partner,18,467,411,District Court,Exceptional at handling complex legal issues. | Proficient in handling legal matters with great care. | Professional demeanor and exceptional legal expertise.,4499358,NB/KAR/2006/39296
63,Arjun Lal,Bankruptcy Lawyer,Mahendra Bhavsar & Co,303,Businesses,Senior Associate,4,45,42,Supreme Court of India,Excellent communication and outstanding client care. | Top-notch service. Went above and beyond to ensure a positive result. | Trustworthy and results-oriented. I felt well-represented.,87248,NB/AP/2020/14374
64,Sneha Kulkarni,International Lawyer,White & Case LLP,407,International Organizations,Advocate,2,18,13,High Court,Reliable and trustworthy. Delivered on their promises. | Skilled and effective. Managed my case with precision and care. | Proactive and strategic. Achieved a favorable outcome.,66036,NB/HP/2022/56583
65,Vikas Singh,Civil Rights Lawyer,Agrud Partners,97,Nonprofits,Of Counsel,12,285,249,High Court,Great advocate. Got me the best possible result in my case. | Thorough and meticulous in every aspect of the case. | Proficient in handling legal matters with great care.,282431,NB/TR/2012/47262
66,Asha Shetty,Constitutional Lawyer,Phoenix Legal,295,Individuals,Counsel,12,234,202,District Court,Poorly handled legal negotiations and settlements. | Unacceptable level of service and attention. | Ineffective communication and lack of detailed information.,281190,NB/TS/2012/36641
67,Simran Pillai,Real Estate Lawyer,Amicus,194,Property Buyers,Legal Advisor,5,108,82,Supreme Court of India,Mismanaged my case and provided inadequate support. | Lack of professionalism and failed to keep me informed. | Failed to provide clear explanations and advice.,580226,NB/DL/2019/91808
68,Anjali Kapoor,Entertainment Lawyer,Chadha & Co,74,Media Companies,Solicitor,9,154,121,Bar Council of India,Provided excellent counsel and achieved excellent results. | Supportive and empathetic. Always had my best interests in mind. | Proactive and strategic. Achieved a favorable outcome.,252359,NB/KAR/2015/62883
69,Sanjay Gupta,Tax Lawyer,Sim And San,439,Businesses,Legal Advisor,6,172,130,Supreme Court of India,Highly knowledgeable and provided excellent advice throughout. | Always available and attentive to my needs. | Consistently high-quality service and reliable support.,364167,NB/BCT/2018/31289
70,Shweta Nair,Education Lawyer,R. K. Dewan & Co.,188,Parents,Managing Associate,9,170,124,Supreme Court of India,Efficient handling of my case with a favorable result. | Proactive and strategic in handling my legal issues. | Professional and reliable. Made the legal process smooth and manageable.,220563,NB/DL/2015/45960
71,Tanvi Reddy,Banking and Finance Lawyer,Lahoti Advocates,436,Financial Institutions,Managing Partner,19,406,390,High Court,"Committed and dedicated. Helped me navigate the legal system effectively. | Great support throughout the legal process. | Professional, reliable, and easy to work with. Satisfied client.",3683077,NB/KAR/2005/63153
72,Harish Shetty,Criminal Lawyer,LEGALLANDS LLP,97,Accused Individuals,Advocate,3,11,7,District Court,Clear explanations and transparent throughout the process. | Committed and dedicated. Helped me navigate the legal system effectively. | Great attention to detail and thorough in handling my case.,166615,NB/AP/2021/64402
73,Shweta Kaul,Family Lawyer,"Chandhiok & Mahajan, Advocates and Solicitors",354,Domestic Partners,Legal Advisor,8,146,142,Bar Council of India,Efficient handling of my case with a favorable result. | Very knowledgeable in their field and easy to communicate with. | Great advocate. Got me the best possible result in my case.,207407,NB/CG/2016/76829
74,Arjun Das,Sports Lawyer,Hammurabi & Solomon Partners,56,Sports Teams,Senior Advocate,12,271,255,High Court,Inadequate response to urgent legal matters. | Ineffective communication and lack of detailed information. | Disappointing experience with slow progress and poor outcomes.,574802,NB/DL/2012/23962
75,Suresh Mehta,International Lawyer,Talwar Thakore & Associates,430,Governments,Managing Associate,8,189,144,Supreme Court of India,"Professional, reliable, and easy to work with. Satisfied client. | Exceptional at handling complex legal issues. | Reliable and trustworthy. Delivered on their promises.",275322,NB/BR/2016/46122
76,Rajesh Yadav,Immigration Lawyer,UJ LEGAL LLP,292,Families,Managing Partner,21,408,316,High Court,Poor handling of legal documents and paperwork. | Unresponsive and did not address all my concerns. | Unacceptable delays and lack of proper follow-up.,3371289,NB/CG/2003/87241
77,Rohit Patel,Environmental Lawyer,De Penning & De Penning,183,Advocacy Groups,Non-Equity Partner,14,248,223,Bar Council of India,"Inadequate preparation and subpar legal advice. | Felt like just another case, not a priority. | Poorly handled legal negotiations and settlements.",980409,NB/TR/2010/62384
78,Divya Mehta,Tax Lawyer,King & Spalding LLP,348,Individuals,Junior Associate / Associate,2,35,27,District Court,Lack of professionalism and failed to keep me informed. | Disappointing experience with slow progress and poor outcomes. | Overpromised and underdelivered. Disappointed with the service.,70266,NB/TN/2022/91709
79,Siddhi Nair,Health Lawyer,Chadha & Co,404,Insurance Companies,Senior Advocate,10,333,279,District Court,Proactive and strategic. Achieved a favorable outcome. | Proficient in handling legal matters with great care. | Efficient and effective. Made a complex process straightforward.,798576,NB/TR/2014/29067
80,Dinesh Shetty,Civil Lawyer,Universal Legal Advocates,295,Small Businesses,Non-Equity Partner,15,253,230,Bar Council of India,Very satisfied with the outcome and the service provided. | Efficient and effective. Made a complex process straightforward. | Dedicated and diligent. Always kept me informed.,691641,NB/OR/2009/99086
81,Deepak Rao,Family Lawyer,Lall & Sethi,225,Families,Managing Partner,22,533,469,Supreme Court of India,Clear explanations and transparent throughout the process. | Efficient and effective. Made a complex process straightforward. | Always available and attentive to my needs.,1581627,NB/UK/2002/33054
82,Suman Bhat,Securities Lawyer,India Law Offices,18,Stockbrokers,Independent Legal Consultant,7,113,89,District Court,Always available and attentive to my needs. | Highly recommended for their expertise and professionalism. | Effective and result-oriented. Highly satisfied with the service.,387626,NB/G/2017/55134
83,Kunal Menon,Intellectual Property Lawyer,Juris Arena,316,Artists,Legal Aid Lawyer,2,16,15,Bar Council of India,Felt my case was not handled with enough urgency. | Inadequate preparation and subpar legal advice. | Overpromised and underdelivered. Disappointed with the service.,59527,NB/BCT/2022/76642
84,Pooja Bhagat,Banking and Finance Lawyer,Bharucha & Partners,448,Banks,Advocate,1,14,13,District Court,Proactive and strategic. Achieved a favorable outcome. | Great support throughout the legal process. | Outstanding client service and thorough legal representation.,170967,NB/DL/2023/28534
85,Harish Mishra,Labor Lawyer,RPV Legal,248,Workers,Managing Partner,22,504,437,Supreme Court of India,Confident and competent. I felt secure with their representation. | Skilled and effective. Managed my case with precision and care. | Professional approach and excellent outcome in my case.,4625541,NB/MAH/2002/29132
86,Anirudh Rao,Criminal Lawyer,WongPartnership LLP,21,Accused Individuals,Senior Associate,3,60,49,District Court,"Very knowledgeable in their field and easy to communicate with. | Professional, reliable, and easy to work with. Satisfied client. | Highly recommended for their expertise and professionalism.",132240,NB/JH/2021/81959
87,Kavita Lal,Animal Lawyer,Ashlar Law,121,Pet Owners,Senior Associate,4,43,34,Bar Council of India,Unprofessional behavior and missed important deadlines. | Not very responsive. I had to chase for updates. | Did not demonstrate adequate legal knowledge.,99182,NB/CG/2020/21639
88,Simran Mishra,Corporate Lawyer,Zeus Law Associates,96,Shareholders,Independent Legal Consultant,5,122,97,High Court,Exceptional service with a strong focus on client needs. | Proactive and strategic. Achieved a favorable outcome. | Empathetic and understanding. Made me feel valued.,490710,NB/BR/2019/29848
89,Manoj Chopra,Elder Lawyer,Kochhar & Co.,367,Senior Citizens,Managing Associate,11,167,156,Bar Council of India,Did not address all legal issues in a timely manner. | Disappointing experience with slow progress and poor outcomes. | Failed to provide clear explanations and advice.,225863,NB/DL/2013/51705
90,Shweta Rajput,Family Lawyer,Bombay Law Chambers,356,Families,Independent Legal Consultant,7,137,111,High Court,Provided vague advice and seemed disinterested. | Disorganized and failed to meet case requirements. | Poor attention to detail led to errors in my case.,383251,NB/KL/2017/72408
91,Arjun Verma,Immigration Lawyer,AK & Partners,353,Government Agencies,Principal Associate,6,88,84,Supreme Court of India,Consistently high-quality service and reliable support. | Exceptional legal skills and always available to answer questions. | Proactive and strategic in handling my legal issues.,246836,NB/WB/2018/69743
92,Meera Kapoor,Municipal Lawyer,Agarwal Law Associates,332,City Councils,Legal Advisor,8,123,118,High Court,Excellent service. Made a stressful situation much easier to handle. | Proactive and strategic. Achieved a favorable outcome. | Provided excellent counsel and achieved excellent results.,558922,NB/G/2016/13234
93,Arjun Pillai,Civil Lawyer,AZB & PARTNERS,55,Small Businesses,Solicitor,5,102,93,Bar Council of India,Unorganized and frequently missed appointments. | Poorly handled legal negotiations and settlements. | Unprofessional behavior and missed important deadlines.,635859,NB/MG/2019/79267
94,Rekha Rajput,Civil Rights Lawyer,Talwar Thakore & Associates,383,Individuals,Managing Partner,23,431,329,High Court,Poor handling of legal documents and paperwork. | Not as knowledgeable as expected. Did not meet my expectations. | Lacked communication and updates during my case.,1518557,NB/MG/2001/50503
95,Swati Dubey,Civil Lawyer,Remfry & Sagar,284,Individuals,Senior Associate,4,50,40,High Court,Responsive and proactive. Addressed all my concerns promptly. | Provided excellent counsel and achieved excellent results. | Committed and dedicated. Helped me navigate the legal system effectively.,102215,NB/UP/2020/48838
96,Rekha Shetty,Corporate Lawyer,P&A Law Offices,115,Shareholders,Independent Legal Consultant,10,159,146,Supreme Court of India,Exceptional at handling complex legal issues. | Highly recommended for their expertise and professionalism. | Efficient handling of my case with a favorable result.,384690,NB/UK/2014/11925
97,Shweta Kapoor,Health Lawyer,Singularity Legal,467,Hospitals,In-House Counsel,10,180,136,District Court,Responsive and proactive. Addressed all my concerns promptly. | Great advocate. Got me the best possible result in my case. | Professional demeanor and exceptional legal expertise.,245082,NB/UP/2014/49982
98,Kavita Shetty,Entertainment Lawyer,Sim And San,268,Media Companies,Solicitor,6,146,119,High Court,Did not represent my interests effectively in court. | Unsatisfactory result and poor management of my case. | Poorly handled legal negotiations and settlements.,494008,NB/TS/2018/65227
99,Kavita Sethi,Immigration Lawyer,Khaitan & Co.,198,Families,In-House Counsel,8,184,167,Supreme Court of India,Clear communication and prompt responses. Highly recommend. | Responsive and proactive. Addressed all my concerns promptly. | Professional demeanor and exceptional legal expertise.,244262,NB/RJ/2016/36981
100,Swati Kaul,Labor Lawyer,Latham & Watkins LLP,188,Labor Unions,Managing Associate,8,163,146,High Court,Top-notch service. Went above and beyond to ensure a positive result. | Knowledgeable and detail-oriented. Provided great support. | Exceptional service with a strong focus on client needs.,236730,NB/BCT/2016/95907
101,Sameer Agarwal,Intellectual Property Lawyer,Amicus,37,Companies,Managing Associate,11,205,171,District Court,Clear explanations and transparent throughout the process. | Professional and reliable. Made the legal process smooth and manageable. | Very professional and handled my case with great expertise.,299555,NB/TS/2013/28786
102,Ishaan Sethi,Military Lawyer,Chadha & Chadha IP,179,Government Agencies,Legal Advisor,7,110,93,District Court,Efficient and effective. Made a complex process straightforward. | Efficient handling of my case with a favorable result. | Great support throughout the legal process.,446085,NB/KAR/2017/27805
103,Meera Nair,Real Estate Lawyer,I.L.A. Pasrich & Company,430,Landlords,In-House Counsel,9,119,109,Supreme Court of India,Limited understanding of my case and its complexities. | Failure to provide effective legal representation. | Inadequate response to urgent legal matters.,413469,NB/JK/2015/44001
104,Jyoti Saxena,Constitutional Lawyer,SNG & PARTNERS,49,Civil Rights Groups,Independent Legal Consultant,5,134,105,Supreme Court of India,Empathetic and understanding. Made me feel valued. | Dedicated and diligent. Always kept me informed. | Outstanding client service and thorough legal representation.,288620,NB/BR/2019/91468
105,Siddharth Bhat,Family Lawyer,Veritas Legal,173,Families,Principal Associate,6,85,79,Bar Council of India,Unorganized and frequently missed appointments. | Did not provide adequate support or guidance. | Felt my case was not handled with enough urgency.,192418,NB/TN/2018/73118
